ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	380	2	2	0.000000	14.628947	12.892105	0.000000	0.000000	0	N/A	N/A
2	392	1	2	0.000000	19.308673	18.992347	0.000000	0.000000	0	N/A	N/A
3	81	1	2	0.000000	14.876543	14.876543	0.000000	0.000000	0	N/A	N/A
4	8	2	2	0.000000	15.500000	8.125000	0.000000	0.000000	0	N/A	N/A
5	15	2	3	0.000000	26.866667	15.266667	0.000000	0.000000	0	N/A	N/A
6	78	1	1	0.000000	9.128205	9.128205	0.000000	0.000000	0	N/A	N/A
7	1117	2	2	0.000000	12.857654	12.350045	0.000000	0.000000	0	N/A	N/A
8	6	1	1	0.000000	3.666667	3.666667	0.000000	0.000000	0	N/A	N/A
9	11	3	2	0.000000	5.090909	5.090909	0.000000	0.000000	0	N/A	N/A
10	14	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	N/A	N/A
11	7	3	2	0.000000	23.428571	19.000000	0.000000	0.000000	0	N/A	N/A
12	10	1	1	0.000000	10.800000	8.800000	0.000000	0.000000	0	N/A	N/A
13	12	2	3	0.000000	18.000000	4.583333	0.000000	0.000000	0	N/A	N/A
14	1	2	1	0.000000	16.000000	14.000000	0.000000	0.000000	0	N/A	N/A
15	20	2	1	0.000000	13.400000	12.150000	0.000000	0.000000	0	N/A	N/A
16	184	2	0	0.000000	2.951087	2.951087	0.000000	0.000000	0	N/A	N/A
17	17	2	1	0.000000	9.588235	9.588235	0.000000	0.000000	0	N/A	N/A
18	2	1	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	N/A	N/A
19	8	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	N/A	N/A
20	17	1	2	0.000000	13.470588	13.470588	0.000000	0.000000	0	N/A	N/A
21	208	1	2	0.000000	16.557692	15.995192	0.000000	0.000000	0	N/A	N/A
22	99	1	2	0.000000	4.919192	4.919192	0.000000	0.000000	0	N/A	N/A
23	6	2	2	0.000000	15.666667	14.000000	0.000000	0.000000	0	N/A	N/A
24	7	1	1	0.000000	8.714286	7.714286	0.000000	0.000000	0	N/A	N/A
25	171	0	2	0.000000	7.602339	7.514620	0.000000	0.000000	0	N/A	N/A
26	374	2	2	0.000000	16.109626	15.601604	0.000000	0.000000	0	N/A	N/A
27	22	2	1	0.000000	17.363636	17.363636	0.000000	0.000000	0	N/A	N/A
