ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	27	1	0	0.000000	2.888889	2.888889	0.000000	0.000000	0	0	0
2	9	1	2	0.000000	7.666667	7.666667	0.000000	0.000000	0	0	0
3	1	2	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
4	37	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
5	49	1	1	0.000000	6.346939	6.346939	0.000000	0.000000	0	0	0
6	7	1	2	0.000000	18.285714	18.285714	0.000000	0.000000	0	0	0
7	2	2	2	0.000000	37.500000	37.500000	0.000000	0.000000	0	0	0
8	2	1	2	0.000000	19.500000	19.500000	0.000000	0.000000	0	0	0
9	8	2	2	0.000000	18.500000	18.500000	0.000000	0.000000	0	0	0
10	13	2	1	0.000000	15.307692	15.000000	0.000000	0.000000	0	0	0
11	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
12	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
13	1	2	2	0.000000	15.000000	14.000000	0.000000	0.000000	0	0	0
14	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
15	1	3	3	0.000000	28.000000	27.000000	0.000000	0.000000	0	0	0
16	8	1	1	0.000000	1.125000	1.125000	0.000000	0.000000	0	0	0
17	22	2	1	0.000000	6.272727	6.272727	0.000000	0.000000	0	0	0
18	2	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
19	1	2	2	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
20	6	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
21	1	3	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
22	2	3	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
23	33	2	1	0.000000	12.060606	12.060606	0.000000	0.000000	0	0	0
24	11	1	1	0.000000	14.545455	14.545455	0.000000	0.000000	0	0	0
25	61	2	1	0.000000	19.049180	18.508197	0.000000	0.000000	0	0	0
26	7	2	1	0.000000	20.428571	20.428571	0.000000	0.000000	0	0	0
27	1	1	1	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
28	1	2	2	0.000000	39.000000	38.000000	0.000000	0.000000	0	0	0
29	1	2	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
30	1	2	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
31	2	1	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
32	2	2	2	0.000000	42.000000	41.000000	0.000000	0.000000	0	0	0
33	1	1	1	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
34	2	1	2	0.000000	42.500000	41.500000	0.000000	0.000000	0	0	0
35	1	2	2	0.000000	45.000000	44.000000	0.000000	0.000000	0	0	0
36	4	1	1	0.000000	28.500000	28.000000	0.000000	0.000000	0	0	0
37	6	1	2	0.000000	28.666667	5.666667	0.000000	0.000000	0	0	0
38	1	1	2	0.000000	30.000000	27.000000	0.000000	0.000000	0	0	0
39	1	2	1	0.000000	29.000000	27.000000	0.000000	0.000000	0	0	0
40	2	1	1	0.000000	27.000000	26.000000	0.000000	0.000000	0	0	0
41	1	2	2	0.000000	53.000000	52.000000	0.000000	0.000000	0	0	0
42	4	2	1	0.000000	27.500000	27.500000	0.000000	0.000000	0	0	0
43	1	2	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
44	1	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
45	8	1	1	0.000000	24.500000	24.500000	0.000000	0.000000	0	0	0
46	1	2	2	0.000000	42.000000	42.000000	0.000000	0.000000	0	0	0
47	1	1	2	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
48	30	1	2	0.000000	28.766667	28.766667	0.000000	0.000000	0	0	0
49	18	1	2	0.000000	21.611111	20.777778	0.000000	0.000000	0	0	0
50	5	2	2	0.000000	23.200000	21.000000	0.000000	0.000000	0	0	0
51	9	1	1	0.000000	21.777778	19.777778	0.000000	0.000000	0	0	0
52	1	1	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
53	1	2	2	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
54	1	1	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
55	4	1	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
56	1	2	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
57	19	2	1	0.000000	24.421053	24.421053	0.000000	0.000000	0	0	0
58	2	1	1	0.000000	29.500000	29.500000	0.000000	0.000000	0	0	0
59	1	2	2	0.000000	51.000000	51.000000	0.000000	0.000000	0	0	0
60	1	1	1	0.000000	31.000000	31.000000	0.000000	0.000000	0	0	0
61	1	1	2	0.000000	33.000000	33.000000	0.000000	0.000000	0	0	0
62	2	1	2	0.000000	48.500000	48.500000	0.000000	0.000000	0	0	0
63	1	3	2	0.000000	55.000000	55.000000	0.000000	0.000000	0	0	0
64	4	1	1	0.000000	33.000000	33.000000	0.000000	0.000000	0	0	0
65	35	2	2	0.000000	31.342857	30.657143	0.000000	0.000000	0	0	0
66	18	1	1	0.000000	15.888889	15.888889	0.000000	0.000000	0	0	0
67	1	2	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
68	1	1	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
69	1	2	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
70	1	3	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
71	22	1	1	0.000000	15.409091	15.409091	0.000000	0.000000	0	0	0
72	1	2	2	0.000000	33.000000	33.000000	0.000000	0.000000	0	0	0
73	25	2	1	0.000000	17.440000	16.840000	0.000000	0.000000	0	0	0
74	1	1	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
75	2	2	2	0.000000	17.500000	17.500000	0.000000	0.000000	0	0	0
76	1	1	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
77	1	3	3	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
78	1	2	3	0.000000	38.000000	38.000000	0.000000	0.000000	0	0	0
79	1	2	2	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
80	4	1	1	0.000000	13.750000	13.750000	0.000000	0.000000	0	0	0
81	1	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
82	10	1	1	0.000000	26.100000	26.100000	0.000000	0.000000	0	0	0
83	1	2	2	0.000000	40.000000	40.000000	0.000000	0.000000	0	0	0
84	11	1	1	0.000000	24.363636	23.454545	0.000000	0.000000	0	0	0
85	3	1	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
86	1	2	2	0.000000	31.000000	31.000000	0.000000	0.000000	0	0	0
87	2	1	1	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
88	1	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
89	14	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
90	13	2	2	0.000000	26.000000	25.000000	0.000000	0.000000	0	0	0
91	3	2	1	0.000000	1.333333	1.333333	0.000000	0.000000	0	0	0
92	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
93	1	2	2	0.000000	3.000000	2.000000	0.000000	0.000000	0	0	0
94	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
95	21	2	2	0.000000	20.952381	20.523810	0.000000	0.000000	0	0	0
96	5	2	1	0.000000	17.600000	16.600000	0.000000	0.000000	0	0	0
97	11	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
98	1	2	2	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
99	1	1	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
100	22	1	2	0.000000	16.727273	16.454545	0.000000	0.000000	0	0	0
101	1	2	2	0.000000	31.000000	30.000000	0.000000	0.000000	0	0	0
102	1	2	3	0.000000	20.000000	19.000000	0.000000	0.000000	0	0	0
103	1	3	3	0.000000	18.000000	17.000000	0.000000	0.000000	0	0	0
104	5	1	1	0.000000	15.200000	14.600000	0.000000	0.000000	0	0	0
105	7	1	1	0.000000	17.142857	12.714286	0.000000	0.000000	0	0	0
106	2	2	2	0.000000	38.000000	34.000000	0.000000	0.000000	0	0	0
107	5	1	1	0.000000	18.600000	18.600000	0.000000	0.000000	0	0	0
108	32	1	1	0.000000	16.656250	16.312500	0.000000	0.000000	0	0	0
109	1	1	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
110	1	2	2	0.000000	40.000000	40.000000	0.000000	0.000000	0	0	0
111	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
112	2	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
113	22	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
114	3	1	2	0.000000	23.666667	23.666667	0.000000	0.000000	0	0	0
115	1	2	2	0.000000	41.000000	41.000000	0.000000	0.000000	0	0	0
116	2	1	1	0.000000	22.500000	22.500000	0.000000	0.000000	0	0	0
117	14	1	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
118	1	2	2	0.000000	44.000000	42.000000	0.000000	0.000000	0	0	0
119	1	2	2	0.000000	42.000000	20.000000	0.000000	0.000000	0	0	0
120	1	2	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
121	12	1	1	0.000000	17.250000	16.666667	0.000000	0.000000	0	0	0
122	2	2	2	0.000000	31.500000	29.500000	0.000000	0.000000	0	0	0
123	10	1	1	0.000000	17.700000	17.500000	0.000000	0.000000	0	0	0
124	3	1	1	0.000000	18.000000	17.000000	0.000000	0.000000	0	0	0
125	1	2	2	0.000000	38.000000	36.000000	0.000000	0.000000	0	0	0
126	10	2	1	0.000000	20.900000	20.200000	0.000000	0.000000	0	0	0
127	2	2	1	0.000000	21.500000	21.500000	0.000000	0.000000	0	0	0
128	4	1	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
129	1	1	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
130	1	2	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
131	1	2	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
132	2	1	2	0.000000	57.500000	45.000000	0.000000	0.000000	0	0	0
133	1	3	2	0.000000	64.000000	31.000000	0.000000	0.000000	0	0	0
134	1	2	1	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
135	2	2	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
136	2	2	1	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
137	1	1	1	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
138	3	3	2	0.000000	23.333333	23.333333	0.000000	0.000000	0	0	0
139	1	1	1	0.000000	20.000000	19.000000	0.000000	0.000000	0	0	0
140	1	2	3	0.000000	44.000000	42.000000	0.000000	0.000000	0	0	0
141	1	1	2	0.000000	45.000000	44.000000	0.000000	0.000000	0	0	0
142	3	2	2	0.000000	43.333333	31.666667	0.000000	0.000000	0	0	0
143	5	1	1	0.000000	18.600000	16.600000	0.000000	0.000000	0	0	0
144	13	1	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
145	1	2	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
146	32	1	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
147	11	3	2	0.000000	49.090909	37.363636	0.000000	0.000000	0	0	0
148	4	1	1	0.000000	23.750000	23.750000	0.000000	0.000000	0	0	0
149	9	1	2	0.000000	22.666667	22.666667	0.000000	0.000000	0	0	0
150	1	2	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
151	41	1	1	0.000000	17.658537	17.658537	0.000000	0.000000	0	0	0
152	31	2	2	0.000000	24.419355	23.709677	0.000000	0.000000	0	0	0
