ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	364	1	1	0.000000	8.497253	8.497253	0.000000	0.000000	0	0	0
2	5	1	1	0.000000	28.200000	28.200000	0.000000	0.000000	0	0	0
3	3	1	2	0.000000	33.666667	33.666667	0.000000	0.000000	0	0	0
4	10	2	2	0.000000	42.600000	14.300000	0.000000	0.000000	0	0	0
5	2	1	1	0.000000	21.000000	18.500000	0.000000	0.000000	0	0	0
6	7	1	3	0.000000	27.000000	20.571429	0.000000	0.000000	0	0	0
7	42	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
8	1	1	2	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
9	1	1	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
10	1	2	2	0.000000	32.000000	32.000000	0.000000	0.000000	0	0	0
11	5	2	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
12	33	1	1	0.000000	6.848485	6.848485	0.000000	0.000000	0	0	0
13	25	1	1	0.000000	9.280000	9.280000	0.000000	0.000000	0	0	0
14	1	1	2	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
15	1	1	2	0.000000	38.000000	38.000000	0.000000	0.000000	0	0	0
16	1	1	2	0.000000	59.000000	34.000000	0.000000	0.000000	0	0	0
17	2	2	3	0.000000	70.000000	44.000000	0.000000	0.000000	0	0	0
18	4	1	1	0.000000	8.500000	8.500000	0.000000	0.000000	0	0	0
19	1	2	2	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
20	12	1	1	0.000000	9.333333	9.333333	0.000000	0.000000	0	0	0
21	1	2	2	0.000000	49.000000	28.000000	0.000000	0.000000	0	0	0
22	3	1	1	0.000000	42.000000	19.666667	0.000000	0.000000	0	0	0
23	46	1	1	0.000000	7.934783	7.934783	0.000000	0.000000	0	0	0
24	1	1	2	0.000000	35.000000	35.000000	0.000000	0.000000	0	0	0
25	1	3	3	0.000000	179.000000	179.000000	0.000000	0.000000	0	0	0
26	1	2	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
27	19	1	1	0.000000	7.052632	7.052632	0.000000	0.000000	0	0	0
28	49	1	1	0.000000	11.469388	11.469388	0.000000	0.000000	0	0	0
29	15	1	1	0.000000	34.866667	17.533333	0.000000	0.000000	0	0	0
30	1	1	2	0.000000	65.000000	49.000000	0.000000	0.000000	0	0	0
31	1	2	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
32	1	2	1	0.000000	27.000000	15.000000	0.000000	0.000000	0	0	0
33	13	2	1	0.000000	24.461538	12.000000	0.000000	0.000000	0	0	0
34	7	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
35	4	2	2	0.000000	17.250000	17.250000	0.000000	0.000000	0	0	0
36	31	1	1	0.000000	8.580645	8.580645	0.000000	0.000000	0	0	0
37	6	1	1	0.000000	7.333333	7.333333	0.000000	0.000000	0	0	0
38	1	2	1	0.000000	39.000000	18.000000	0.000000	0.000000	0	0	0
39	3	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
40	218	1	1	0.000000	8.449541	8.449541	0.000000	0.000000	0	0	0
41	397	1	1	0.000000	7.100756	7.100756	0.000000	0.000000	0	0	0
42	70	1	1	0.000000	6.757143	6.757143	0.000000	0.000000	0	0	0
43	1	2	2	0.000000	49.000000	11.000000	0.000000	0.000000	0	0	0
44	329	1	1	0.000000	9.848024	9.848024	0.000000	0.000000	0	0	0
45	86	1	1	0.000000	10.209302	10.209302	0.000000	0.000000	0	0	0
46	4	2	2	0.000000	16.500000	16.500000	0.000000	0.000000	0	0	0
47	6	1	1	0.000000	8.666667	8.666667	0.000000	0.000000	0	0	0
48	28	1	1	0.000000	5.857143	5.857143	0.000000	0.000000	0	0	0
49	1	2	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
50	13	1	1	0.000000	8.538462	8.538462	0.000000	0.000000	0	0	0
51	14	1	2	0.000000	20.428571	13.571429	0.000000	0.000000	0	0	0
52	5	1	3	0.000000	41.200000	28.200000	0.000000	0.000000	0	0	0
53	7	1	1	0.000000	31.714286	24.142857	0.000000	0.000000	0	0	0
54	3	1	2	0.000000	7.666667	7.666667	0.000000	0.000000	0	0	0
55	66	1	1	0.000000	4.984848	4.984848	0.000000	0.000000	0	0	0
56	30	1	1	0.000000	7.400000	7.400000	0.000000	0.000000	0	0	0
57	5	2	2	0.000000	52.000000	39.600000	0.000000	0.000000	0	0	0
58	2	2	2	0.000000	20.500000	20.500000	0.000000	0.000000	0	0	0
59	30	1	1	0.000000	4.533333	4.533333	0.000000	0.000000	0	0	0
60	8	1	2	0.000000	45.375000	19.875000	0.000000	0.000000	0	0	0
61	1	2	1	0.000000	38.000000	22.000000	0.000000	0.000000	0	0	0
62	6	2	1	0.000000	32.666667	26.000000	0.000000	0.000000	0	0	0
63	15	1	1	0.000000	8.200000	8.200000	0.000000	0.000000	0	0	0
64	1	1	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
65	3	2	2	0.000000	31.000000	31.000000	0.000000	0.000000	0	0	0
66	1	3	2	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
67	45	1	1	0.000000	10.400000	10.400000	0.000000	0.000000	0	0	0
68	1	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
69	71	1	1	0.000000	10.183099	10.183099	0.000000	0.000000	0	0	0
70	1	2	2	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
71	12	1	1	0.000000	14.916667	8.416667	0.000000	0.000000	0	0	0
72	25	1	1	0.000000	6.080000	6.080000	0.000000	0.000000	0	0	0
73	1	2	2	0.000000	47.000000	10.000000	0.000000	0.000000	0	0	0
74	32	1	1	0.000000	7.968750	7.968750	0.000000	0.000000	0	0	0
75	4	1	1	0.000000	29.000000	13.000000	0.000000	0.000000	0	0	0
76	1	2	2	0.000000	34.000000	18.000000	0.000000	0.000000	0	0	0
77	11	1	1	0.000000	9.181818	9.181818	0.000000	0.000000	0	0	0
78	2	2	2	0.000000	18.500000	18.500000	0.000000	0.000000	0	0	0
79	29	1	1	0.000000	6.241379	6.241379	0.000000	0.000000	0	0	0
80	10	1	1	0.000000	34.400000	10.300000	0.000000	0.000000	0	0	0
81	16	1	1	0.000000	8.437500	8.437500	0.000000	0.000000	0	0	0
82	3	2	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
83	6	1	1	0.000000	9.166667	9.166667	0.000000	0.000000	0	0	0
84	1	1	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
85	6	2	1	0.000000	10.833333	10.666667	0.000000	0.000000	0	0	0
86	2	2	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
87	3	1	1	0.000000	11.000000	11.000000	0.000000	0.000000	0	0	0
88	1	2	2	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
89	13	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
90	2	2	2	0.000000	15.500000	15.500000	0.000000	0.000000	0	0	0
91	15	1	1	0.000000	8.600000	8.600000	0.000000	0.000000	0	0	0
92	1	1	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
93	4	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
94	94	1	1	0.000000	8.234043	8.234043	0.000000	0.000000	0	0	0
95	2	2	2	0.000000	21.500000	21.500000	0.000000	0.000000	0	0	0
96	16	1	1	0.000000	9.312500	9.312500	0.000000	0.000000	0	0	0
97	1	1	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
98	1	1	2	0.000000	43.000000	26.000000	0.000000	0.000000	0	0	0
99	5	1	2	0.000000	37.800000	29.400000	0.000000	0.000000	0	0	0
100	3	1	2	0.000000	45.000000	34.000000	0.000000	0.000000	0	0	0
101	1	2	2	0.000000	52.000000	39.000000	0.000000	0.000000	0	0	0
102	6	2	1	0.000000	44.500000	37.166667	0.000000	0.000000	0	0	0
103	4	2	1	0.000000	41.500000	34.500000	0.000000	0.000000	0	0	0
104	2	2	2	0.000000	26.500000	26.500000	0.000000	0.000000	0	0	0
105	2	1	1	0.000000	18.500000	18.500000	0.000000	0.000000	0	0	0
106	109	1	1	0.000000	6.477064	6.477064	0.000000	0.000000	0	0	0
107	2	2	1	0.000000	11.500000	11.500000	0.000000	0.000000	0	0	0
108	17	1	1	0.000000	9.705882	9.705882	0.000000	0.000000	0	0	0
109	1	2	2	0.000000	25.000000	17.000000	0.000000	0.000000	0	0	0
110	1	1	2	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
111	6	1	1	0.000000	8.333333	8.333333	0.000000	0.000000	0	0	0
112	9	2	1	0.000000	11.777778	11.777778	0.000000	0.000000	0	0	0
113	25	1	1	0.000000	8.400000	8.400000	0.000000	0.000000	0	0	0
114	2	1	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
115	40	1	1	0.000000	7.625000	7.625000	0.000000	0.000000	0	0	0
116	9	2	1	0.000000	29.111111	9.888889	0.000000	0.000000	0	0	0
117	10	1	1	0.000000	5.200000	5.200000	0.000000	0.000000	0	0	0
118	136	1	1	0.000000	8.007353	8.007353	0.000000	0.000000	0	0	0
119	2	1	1	0.000000	4.500000	4.500000	0.000000	0.000000	0	0	0
120	21	1	1	0.000000	5.285714	5.285714	0.000000	0.000000	0	0	0
121	1	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
122	35	1	1	0.000000	7.257143	7.257143	0.000000	0.000000	0	0	0
123	18	1	1	0.000000	5.055556	5.055556	0.000000	0.000000	0	0	0
124	3	2	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
125	3	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
126	4	2	1	0.000000	19.250000	10.750000	0.000000	0.000000	0	0	0
127	5	2	1	0.000000	15.200000	6.600000	0.000000	0.000000	0	0	0
128	21	1	1	0.000000	7.142857	7.142857	0.000000	0.000000	0	0	0
