ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	121	2	1	0.000000	6.528926	6.528926	0.000000	0.000000	0	0	0
2	115	1	1	0.000000	9.121739	9.121739	0.000000	0.000000	0	0	0
3	49	1	1	0.000000	5.061224	5.061224	0.000000	0.000000	0	0	0
4	1	2	2	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
5	74	1	2	0.000000	10.972973	10.972973	0.000000	0.000000	0	0	0
6	1	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
7	7	1	1	0.000000	8.571429	8.571429	0.000000	0.000000	0	0	0
8	15	2	2	0.000000	10.733333	10.733333	0.000000	0.000000	0	0	0
9	32	1	1	0.000000	12.218750	12.218750	0.000000	0.000000	0	0	0
10	1	2	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
11	26	1	1	0.000000	11.884615	11.884615	0.000000	0.000000	0	0	0
12	9	1	1	0.000000	9.444444	9.444444	0.000000	0.000000	0	0	0
13	15	2	2	0.000000	9.200000	9.200000	0.000000	0.000000	0	0	0
14	48	1	1	0.000000	3.145833	3.145833	0.000000	0.000000	0	0	0
15	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
16	1	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
17	13	1	1	0.000000	1.538462	1.538462	0.000000	0.000000	0	0	0
18	23	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
