ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	988	1	1	0.000000	6.420040	6.420040	0.000000	0.000000	0	N/A	N/A
2	9	1	2	0.000000	23.888889	19.111111	0.000000	0.000000	0	N/A	N/A
3	16	2	1	0.000000	15.750000	13.937500	0.000000	0.000000	0	N/A	N/A
4	1007	1	1	0.000000	7.863952	7.863952	0.000000	0.000000	0	N/A	N/A
5	186	1	1	0.000000	5.715054	5.715054	0.000000	0.000000	0	N/A	N/A
6	1	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	N/A	N/A
7	150	1	1	0.000000	7.686667	7.686667	0.000000	0.000000	0	N/A	N/A
8	53	1	1	0.000000	7.584906	7.584906	0.000000	0.000000	0	N/A	N/A
9	154	1	1	0.000000	7.149351	7.149351	0.000000	0.000000	0	N/A	N/A
10	59	1	1	0.000000	9.389831	9.389831	0.000000	0.000000	0	N/A	N/A
11	37	1	1	0.000000	7.351351	7.351351	0.000000	0.000000	0	N/A	N/A
12	1	2	1	0.000000	18.000000	15.000000	0.000000	0.000000	0	N/A	N/A
13	17	1	1	0.000000	5.823529	5.823529	0.000000	0.000000	0	N/A	N/A
14	19	1	1	0.000000	7.684211	7.684211	0.000000	0.000000	0	N/A	N/A
15	262	1	1	0.000000	6.129771	6.129771	0.000000	0.000000	0	N/A	N/A
16	3	2	2	0.000000	17.666667	17.666667	0.000000	0.000000	0	N/A	N/A
17	77	1	1	0.000000	5.025974	5.025974	0.000000	0.000000	0	N/A	N/A
18	9	1	2	0.000000	22.555556	19.111111	0.000000	0.000000	0	N/A	N/A
19	6	2	2	0.000000	30.000000	26.666667	0.000000	0.000000	0	N/A	N/A
20	6	2	1	0.000000	21.000000	19.166667	0.000000	0.000000	0	N/A	N/A
21	19	1	1	0.000000	15.315789	15.315789	0.000000	0.000000	0	N/A	N/A
22	199	1	1	0.000000	6.994975	6.994975	0.000000	0.000000	0	N/A	N/A
23	3	2	2	0.000000	12.333333	12.333333	0.000000	0.000000	0	N/A	N/A
24	48	1	0	0.000000	6.562500	6.562500	0.000000	0.000000	0	N/A	N/A
25	1	1	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	N/A	N/A
26	6	1	2	0.000000	20.500000	20.500000	0.000000	0.000000	0	N/A	N/A
27	4	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	N/A	N/A
28	8	1	1	0.000000	14.375000	11.000000	0.000000	0.000000	0	N/A	N/A
29	1	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	N/A	N/A
30	1	2	2	0.000000	16.000000	16.000000	0.000000	0.000000	0	N/A	N/A
31	26	1	1	0.000000	7.307692	7.307692	0.000000	0.000000	0	N/A	N/A
32	3	2	2	0.000000	36.333333	9.333333	0.000000	0.000000	0	N/A	N/A
33	2	2	2	0.000000	8.500000	8.500000	0.000000	0.000000	0	N/A	N/A
34	9	2	1	0.000000	9.333333	9.333333	0.000000	0.000000	0	N/A	N/A
35	3	2	2	0.000000	17.666667	17.666667	0.000000	0.000000	0	N/A	N/A
36	55	1	1	0.000000	6.890909	6.890909	0.000000	0.000000	0	N/A	N/A
37	3	1	2	0.000000	29.333333	7.000000	0.000000	0.000000	0	N/A	N/A
38	9	2	1	0.000000	9.444444	6.111111	0.000000	0.000000	0	N/A	N/A
39	5	1	1	0.000000	4.400000	4.400000	0.000000	0.000000	0	N/A	N/A
40	70	1	1	0.000000	4.842857	4.842857	0.000000	0.000000	0	N/A	N/A
41	37	0	1	0.000000	6.675676	6.675676	0.000000	0.000000	0	N/A	N/A
42	48	1	1	0.000000	7.791667	7.791667	0.000000	0.000000	0	N/A	N/A
